Date,Canada,Germany,Italy,Singapore,United States,Vietnam,China
2003-03-17,8,1,0,20,0,40,95
2003-03-18,8,1,0,23,0,56,123
2003-03-19,8,1,0,31,11,57,150
2003-03-20,9,1,0,34,11,58,173
2003-03-21,9,2,1,39,13,58,203
2003-03-22,9,2,2,44,22,58,222
2003-03-24,11,4,2,65,37,58,260
2003-03-25,11,4,2,69,37,58,286
2003-03-26,19,4,2,74,38,58,1108
2003-03-27,28,4,2,78,39,58,1173
2003-03-28,29,4,2,86,39,58,1231
2003-03-29,37,4,2,89,39,58,1276
2003-03-31,44,5,3,91,39,59,1336
2003-04-01,53,5,3,92,40,59,1491
2003-04-02,58,5,3,95,41,59,1898
2003-04-03,62,5,3,98,41,62,1924
2003-04-04,69,5,3,100,41,62,1981
2003-04-05,74,5,3,101,45,62,2020
2003-04-07,90,5,3,106,51,62,2151
2003-04-08,91,5,3,113,52,62,2207
2003-04-09,94,5,3,118,54,62,2250
2003-04-10,97,6,3,126,54,62,2288
2003-04-11,98,6,3,133,56,62,2368
2003-04-12,100,6,3,147,59,63,2479
2003-04-14,100,6,3,158,59,63,2608
2003-04-15,101,6,3,162,61,63,2650
2003-04-16,103,6,3,162,63,63,2700
2003-04-17,126,6,3,167,63,63,2754
2003-04-18,132,6,3,177,64,63,2870
2003-04-19,132,6,3,177,64,63,2870
2003-04-21,132,6,3,178,64,63,3361
2003-04-22,139,7,3,186,64,63,3435
2003-04-23,140,7,3,189,64,63,3763
2003-04-24,140,7,4,192,65,63,3910
2003-04-25,140,7,4,195,65,63,4111
2003-04-26,140,7,4,198,65,63,4280
2003-04-28,140,7,4,199,65,63,4471
2003-04-29,140,7,4,201,65,63,4875
2003-04-30,140,7,4,201,65,63,5050
2003-05-01,140,7,4,201,65,63,5239
2003-05-02,140,7,4,203,65,63,5411
2003-05-03,140,7,4,203,66,63,5593
2003-05-05,140,7,4,204,66,63,5918
2003-05-06,142,7,4,204,66,63,6056
2003-05-07,142,8,5,204,66,63,6215
2003-05-08,142,8,5,204,66,63,6360
2003-05-09,143,9,5,204,66,63,6473
2003-05-10,143,9,8,205,66,63,6559
2003-05-12,143,9,9,205,67,63,6697
2003-05-13,145,9,9,205,67,63,6776
2003-05-14,145,9,9,205,68,63,6823
2003-05-15,146,9,9,205,68,63,6867
2003-05-16,146,9,9,205,68,63,6898
2003-05-17,146,9,9,205,69,63,6920
2003-05-19,147,9,9,206,69,63,6951
2003-05-20,148,9,9,206,69,63,6967
2003-05-21,148,9,9,206,69,63,6969
2003-05-22,148,9,9,206,70,63,6995
2003-05-23,148,9,9,206,71,63,7011
2003-05-24,148,9,9,206,71,63,7035
2003-05-26,149,9,9,206,72,63,7044
2003-05-27,149,9,9,206,72,63,7052
2003-05-28,149,9,9,206,73,63,7055
2003-05-29,151,9,9,206,73,63,7058
2003-05-30,159,9,9,206,73,63,7065
2003-05-31,188,10,9,206,73,63,7068
2003-06-02,198,10,9,206,73,63,7075
2003-06-03,213,10,9,206,73,63,7077
2003-06-04,216,10,9,206,73,63,7078
2003-06-05,218,10,9,206,74,63,7078
2003-06-06,219,10,9,206,74,63,7080
2003-06-09,229,10,9,206,74,63,7082
2003-06-10,229,10,9,206,74,63,7082
2003-06-11,230,10,9,206,74,63,7082
2003-06-12,238,10,9,206,75,63,7082
2003-06-13,242,10,9,206,75,63,7082
2003-06-16,243,10,9,206,75,63,7082
2003-06-17,245,10,9,206,75,63,7082
2003-06-18,245,10,9,206,75,63,7082
2003-06-19,246,10,9,206,75,63,7083
2003-06-20,246,10,9,206,75,63,7083
2003-06-23,247,10,9,206,85,63,7083
2003-06-24,249,10,9,206,100,63,7083
2003-06-25,249,10,9,206,115,63,7083
2003-06-26,250,10,9,206,141,63,7083
2003-06-27,250,10,9,206,148,63,7083
2003-06-30,250,10,9,206,149,63,7083
2003-07-01,250,10,9,206,154,63,7083
2003-07-02,251,10,9,206,166,63,7083
2003-07-03,251,10,9,206,166,63,7083
2003-07-04,251,10,9,206,174,63,7083
2003-07-07,251,10,9,206,193,63,7083
2003-07-08,251,10,9,206,193,63,7083
2003-07-09,252,10,9,206,199,63,7083
2003-07-10,252,10,9,206,220,63,7084
2003-07-11,252,10,9,206,220,63,7084
